Jahr,Bezirk,Geschlecht,Anzahl_Geburten
2018,1070,1,131
2018,1070,2,139
2018,1080,1,107
2018,1080,2,98
2018,1090,1,197
2018,1090,2,188
2018,1100,1,1260
2018,1100,2,1266
2018,1110,1,591
2018,1110,2,615
2018,1120,1,550
2018,1120,2,531
2018,1130,1,223
2018,1130,2,221
2018,1140,1,450
2018,1140,2,483
2018,1150,1,462
2018,1150,2,375
2018,1160,1,613
2018,1160,2,601
2018,1170,1,335
2018,1170,2,313
2018,1180,1,277
2018,1180,2,259
2018,1190,1,335
2018,1190,2,315
2018,1200,1,491
2018,1200,2,451
2018,1210,1,943
2018,1210,2,875
2018,1220,1,1032
2018,1220,2,908
2018,1230,1,532
2018,1230,2,526
2019,1010,1,62
2019,1010,2,46
2019,1020,1,594
2019,1020,2,533
2019,1030,1,451
2019,1030,2,432
2019,1040,1,143
2019,1040,2,170
2019,1050,1,275
2019,1050,2,268
2019,1060,1,151
2019,1060,2,113
2019,1070,1,165
2019,1070,2,150
2019,1080,1,93
2019,1080,2,101
2019,1090,1,199
2019,1090,2,195
2019,1100,1,1326
2019,1100,2,1180
2019,1110,1,617
2019,1110,2,616
2019,1120,1,543
2019,1120,2,525
2019,1130,1,238
2019,1130,2,270
2019,1140,1,458
2019,1140,2,427
2019,1150,1,451
2019,1150,2,400
2019,1160,1,573
2019,1160,2,568
2019,1170,1,306
2019,1170,2,310
2019,1180,1,267
2019,1180,2,256
2019,1190,1,363
2019,1190,2,280
2019,1200,1,500
2019,1200,2,470
2019,1210,1,971
2019,1210,2,817
2019,1220,1,993
2019,1220,2,958
2019,1230,1,548
2019,1230,2,563
2020,1010,1,55
2020,1010,2,60
2020,1020,1,566
2020,1020,2,533
2020,1030,1,423
2020,1030,2,420
2020,1040,1,137
2020,1040,2,139
2020,1050,1,262
2020,1050,2,273
2020,1060,1,148
2020,1060,2,126
2020,1070,1,151
2020,1070,2,126
2020,1080,1,99
2020,1080,2,91
2020,1090,1,181
2020,1090,2,156
2020,1100,1,1309
2020,1100,2,1170
2020,1110,1,609
2020,1110,2,572
2020,1120,1,508
2020,1120,2,488
2020,1130,1,228
2020,1130,2,212
2020,1140,1,494
2020,1140,2,426
2020,1150,1,392
2020,1150,2,346
2020,1160,1,550
2020,1160,2,484
2020,1170,1,322
2020,1170,2,291
2020,1180,1,256
2020,1180,2,275
2020,1190,1,295
2020,1190,2,321
2020,1200,1,418
2020,1200,2,449
2020,1210,1,909
2020,1210,2,850
2020,1220,1,962
2020,1220,2,934
2020,1230,1,573
2020,1230,2,567
2021,1010,1,64
2021,1010,2,41
2021,1020,1,559
2021,1020,2,523
2021,1030,1,458
2021,1030,2,489
2021,1040,1,162
2021,1040,2,136
2021,1050,1,281
2021,1050,2,229
2021,1060,1,134
2021,1060,2,131
2021,1070,1,140
2021,1070,2,135
2021,1080,1,90
2021,1080,2,100
2021,1090,1,211
2021,1090,2,182
2021,1100,1,1313
2021,1100,2,1135
2021,1110,1,630
2021,1110,2,585
2021,1120,1,496
2021,1120,2,510
2021,1130,1,243
2021,1130,2,223
2021,1140,1,455
2021,1140,2,402
2021,1150,1,385
2021,1150,2,335
2021,1160,1,516
2021,1160,2,462
2021,1170,1,274
2021,1170,2,313
2021,1180,1,238
2021,1180,2,252
2021,1190,1,321
2021,1190,2,322
2021,1200,1,423
2021,1200,2,429
2021,1210,1,1006
2021,1210,2,872
2021,1220,1,1027
2021,1220,2,941
2021,1230,1,604
2021,1230,2,582
2022,1010,1,55
2022,1010,2,57
2022,1020,1,501
2022,1020,2,494
2022,1030,1,458
2022,1030,2,419
2022,1040,1,123
2022,1040,2,132
2022,1050,1,256
2022,1050,2,245
2022,1060,1,125
2022,1060,2,126
2022,1070,1,126
2022,1070,2,131
2022,1080,1,86
2022,1080,2,82
2022,1090,1,188
2022,1090,2,155
2022,1100,1,1277
2022,1100,2,1223
2022,1110,1,617
2022,1110,2,624
2022,1120,1,529
2022,1120,2,503
2022,1130,1,237
2022,1130,2,248
2022,1140,1,464
2022,1140,2,393
2022,1150,1,384
2022,1150,2,322
2022,1160,1,515
2022,1160,2,451
2022,1170,1,255
2022,1170,2,257
2022,1180,1,255
2022,1180,2,228
2022,1190,1,324
2022,1190,2,280
2022,1200,1,441
2022,1200,2,433
2022,1210,1,1033
2022,1210,2,915
2022,1220,1,964
2022,1220,2,1029
2022,1230,1,638
2022,1230,2,544
2023,1010,1,49
2023,1010,2,52
2023,1020,1,519
2023,1020,2,512
2023,1030,1,436
2023,1030,2,424
2023,1040,1,128
2023,1040,2,114
2023,1050,1,254
2023,1050,2,202
2023,1060,1,97
2023,1060,2,110
2023,1070,1,133
2023,1070,2,113
2023,1080,1,91
2023,1080,2,67
2023,1090,1,165
2023,1090,2,147
2023,1100,1,1200
2023,1100,2,1109
2023,1110,1,575
2023,1110,2,537
2023,1120,1,488
2023,1120,2,492
2023,1130,1,202
2023,1130,2,229
2023,1140,1,475
2023,1140,2,391
2023,1150,1,355
2023,1150,2,307
2023,1160,1,472
2023,1160,2,458
2023,1170,1,269
2023,1170,2,248
2023,1180,1,229
2023,1180,2,200
2023,1190,1,319
2023,1190,2,272
2023,1200,1,413
2023,1200,2,393
2023,1210,1,892
2023,1210,2,894
2023,1220,1,995
2023,1220,2,954
2023,1230,1,562
2023,1230,2,529
2024,1010,1,58
2024,1010,2,44
2024,1020,1,570
2024,1020,2,489
2024,1030,1,423
2024,1030,2,400
2024,1040,1,146
2024,1040,2,122
2024,1050,1,230
2024,1050,2,213
2024,1060,1,109
2024,1060,2,117
2024,1070,1,123
2024,1070,2,111
2024,1080,1,77
2024,1080,2,59
2024,1090,1,172
2024,1090,2,156
2024,1100,1,1223
2024,1100,2,1230
2024,1110,1,619
2024,1110,2,581
2024,1120,1,517
2024,1120,2,556
2024,1130,1,240
2024,1130,2,226
2024,1140,1,470
2024,1140,2,412
2024,1150,1,343
2024,1150,2,354
2024,1160,1,554
2024,1160,2,483
2024,1170,1,249
2024,1170,2,265
2024,1180,1,198
2024,1180,2,189
2024,1190,1,303
2024,1190,2,257
2024,1200,1,446
2024,1200,2,418
2024,1210,1,1059
2024,1210,2,964
2024,1220,1,1094
2024,1220,2,1016
2024,1230,1,611
2024,1230,2,574
